name,category,image_url
Red Shirt,Clothing,https://meghz.com/cdn/shop/files/DSC_3292.jpg?v=1752498129&width=800
Blue Jeans,Clothing,https://offduty.in/cdn/shop/files/IMG_3569_1800x1800.jpg?v=1747038850
Running Shoes,Sports,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240625/kCDJ/667a02521d763220fa15ca7d/-1117Wx1400H-700123670-white-MODEL.jpg
Laptop Bag,Accessories,https://cdn.shopify.com/s/files/1/0651/0847/6121/files/3_cc1902b1-49f1-4e2f-b70b-e6666a480dff_3000x.jpg?v=1688114256
Smartphone,Electronics,https://data1.ibtimes.co.in/en/full/759963/oneplus-9r-review.jpg
Water Bottle,Accessories,https://nayasa.com/cdn/shop/files/NE02128_1_8b4a1a7a-a716-47a1-9cbc-3d941efe9e4e.jpg?v=1732793248&width=1200
Phone cover,Accessories,https://www.thecasecompany.in/cdn/shop/files/7_330b8021-d798-4067-8f27-29479780e758_1024x1024@2x.webp?v=1725881751
Earphones,Electronics,https://zebronics.com/cdn/shop/products/ZEB-BUDS-30-pic11.jpg?v=1679052543&width=1200
 White Dress,Clothing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgj6hSym06x1c72ZuSXtpPsyBEGo51V2p1fQ&s
 Denim Skirt,Clothing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRn0oXq8QFX4gN4BNJVc0TpHuqv-ZynDOWRaQ&s
Earbuds,Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMAp701Qg-1GHB3jOUP70aOoK33W6wYxn-kg&s
Watch,Accessories,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHYxeRUDdYqXYoYRwSI5L1kZkbu5ibqcjXIw&s
Tablet,Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHuavkh4o7lNofiSF0NaTPXN1jg1FKk5FJSw&s
 Blue Shirt,Clothing,https://i.pinimg.com/1200x/64/2b/44/642b44671ea3067d07a935afe9c082b3.jpg
 Black Pant,Clothing,https://i.pinimg.com/736x/cb/5f/66/cb5f662a291bbc94dbee403d719c65fc.jpg
Pink Sweater,Clothing,https://i.pinimg.com/1200x/be/41/0d/be410df57915f9c9fe606256c0cb5499.jpg
 Headphones,Electronics,https://i.pinimg.com/736x/76/9d/84/769d8454f78dabe81ec54e51fea6d156.jpg
 Sunglasses,Fashion,https://i.pinimg.com/736x/ad/d1/3d/add13d7b799c811eb46a27fe92233af6.jpg
 Heels,Footwear,https://i.pinimg.com/736x/08/0b/a7/080ba7f5f4409dba7d3464bd3a6700fd.jpg
 Brown Handbag,Accessories,https://i.pinimg.com/1200x/a4/b5/d8/a4b5d881950c70e234ade75ef45b6357.jpg
Coffee Mug,Kitchen Accessories,https://i.pinimg.com/736x/f7/2f/cb/f72fcb94cb5217aa8d005a6e0c32af14.jpg
Earrings,Accessories,https://i.pinimg.com/736x/a3/4e/33/a34e33939140cd4310ed437922fb4c07.jpg
Bracelet,Accessories,https://i.pinimg.com/1200x/61/8e/86/618e86914fcb22d4ef7199e0874ca8b6.jpg
Necklace,Accessories,https://i.pinimg.com/736x/9e/03/e8/9e03e821c834ba7e63a003673ff8dd48.jpg
Rings,Accessories,https://i.pinimg.com/1200x/d8/82/2f/d8822fb99329b9cd18443181ca201f66.jpg
Banarasi Saree,Clothing,https://i.pinimg.com/736x/40/72/de/4072deb4c6eae658ebc485de64298d76.jpg
Notebook,Stationary,https://i.pinimg.com/736x/34/63/db/3463db18a93629dddc9fbd1d34a7dfcd.jpg
Sketch Pens,Stationary,https://i.pinimg.com/736x/76/03/22/76032211bb7818b1753a3e078410f399.jpg
Color Papers,Stationary,https://i.pinimg.com/1200x/2a/7a/ff/2a7aff08e066ba852b113ac8e00f7c50.jpg
Slippers,Footwear,https://i.pinimg.com/736x/84/bd/64/84bd64efd9f1aa2f5858e353033d9f16.jpg
Laptop,Electronics,https://i.pinimg.com/736x/e3/75/58/e37558a8347dd5eaf3818fe95678023d.jpg
Cello Tape,Stationary,https://i.pinimg.com/736x/36/25/18/3625183e60e2005b89ab1ad787ddf44e.jpg
Blue Pen,Stationary,https://i.pinimg.com/736x/69/0f/28/690f28d41b9658a673044f3d4d06e427.jpg
Basket,Accessories,https://i.pinimg.com/1200x/8a/f1/30/8af130f8d59fc8501f6437404eff5328.jpg
Organizer,Accessories,https://i.pinimg.com/736x/6a/dc/a8/6adca8de307bff406fb9e3a50185e3a8.jpg
Electric Kettle,Electronics,https://i.pinimg.com/736x/4e/df/50/4edf50ce35decb1e8c31da8e1233962a.jpg
Scissors,Stationary,https://i.pinimg.com/736x/04/aa/19/04aa19be7f855948df6b18c119b66bfe.jpg
Bucket,Bathroom essentials,https://i.pinimg.com/1200x/ba/4f/34/ba4f34bc8ac6ff53c951b60b0ccfd2fa.jpg
Bath Mug,Bathroom Essentials,https://i.pinimg.com/736x/a9/2e/a7/a92ea7ed35d1914966816d70085df909.jpg
Cotton Pads,Skincare,https://i.pinimg.com/1200x/8f/f6/fd/8ff6fd285ed35a788b93a8411eab1225.jpg
Minimalist Facewash,Skincare,https://i.pinimg.com/736x/fb/eb/67/fbeb6717a8ce4aedad7c632453147a21.jpg
Lipstick,Beauty,https://i.pinimg.com/736x/67/de/3f/67de3f94cd28afdc815548a5d63c3ae0.jpg
Eyeliner,Beauty,https://i.pinimg.com/736x/fc/05/e4/fc05e4103b31413292f80099d46c0d90.jpg
Mascara,Beauty,https://i.pinimg.com/736x/aa/08/a2/aa08a2723915eeb3209c372ab738d176.jpg
Foundation,Beauty,https://i.pinimg.com/736x/57/6c/57/576c57de5cb400da3b4bf2e6da6915d8.jpg
Soapcase,Bathroom Essentials,https://i.pinimg.com/1200x/f8/4c/0a/f84c0acc17ed9fc4d1944db73bf07412.jpg
Eyelash Curler,Beauty,https://i.pinimg.com/1200x/4f/b1/65/4fb165eb0729a71a258d74f230354317.jpg
Spectacles,Accessories,https://i.pinimg.com/736x/4b/99/45/4b99453e51af7930f57d01400df81e18.jpg
Hair Straightner,Beauty,https://i.pinimg.com/1200x/9f/80/13/9f80134c82639a8dbdadf4584f0ade2d.jpg
Hair Brush,Beauty,https://i.pinimg.com/736x/b8/7c/58/b87c588139c09e1d1e44babeb5c36621.jpg
Claw Clip,Beauty,https://i.pinimg.com/1200x/bd/2c/ac/bd2cac62b04b70b07619f95bdd8a6cbf.jpg
Vaseline Body Lotion,Beauty,https://i.pinimg.com/1200x/92/8a/0a/928a0a2218ff1fda59e558c4a5467277.jpg
Dove Conditioner,Beauty,https://i.pinimg.com/736x/89/cb/aa/89cbaa50a9a8099b2964b98269984dfa.jpg
Hangers,Accessories,https://i.pinimg.com/1200x/03/bb/9e/03bb9e968d8eebf7153dc19e6189c224.jpg
Football,Sports,https://i.pinimg.com/736x/bd/30/9f/bd309f83ddedf5834d83ab448cc7b589.jpg
Minimalist Sunscreen,Beauty,https://i.pinimg.com/1200x/33/25/e8/3325e82f0aa7a58b066b48147743cbc4.jpg
Face Toner,Beauty,https://i.pinimg.com/1200x/3f/5c/13/3f5c138483f6079062217ce8f396580c.jpg
Trolley Bag,Travel Essentials,https://i.pinimg.com/1200x/32/20/29/3220298071af0f052e9bf481955a3895.jpg
Hand Cream,Beauty,https://i.pinimg.com/1200x/2b/60/dd/2b60dd48ad3fd9876789318b0cb935ce.jpg
Study table,Furniture,https://i.pinimg.com/736x/c1/40/21/c140217b4ca6a1bdbc7c9f6aac665fed.jpg
Sofa set,Furniture,https://i.pinimg.com/736x/b7/6d/f9/b76df9a65fce8dc529511c4bcaa42fb1.jpg
Wooden Comb,Accessories,https://i.pinimg.com/1200x/11/b0/28/11b0284d37e6d3a73935acc649eb0745.jpg
Teddy Bear,Softtoy,https://i.pinimg.com/originals/62/25/34/62253443c26a739c0cc338255f229e1d.png
Scrunchie,Accessories,https://i.pinimg.com/736x/68/cf/77/68cf771dd35545444808ad0a02ca012e.jpg
